"\OneDrive Per-Machine Standalone Update Task","6/22/2026 2:02:53 AM","Ready"
"\OneDrive Reporting Task-S-1-5-21-1797568184-2019550600-547061642-1001","6/21/2026 12:59:57 AM","Ready"
"\OneDrive Startup Task-S-1-5-21-1797568184-2019550600-547061642-1001","N/A","Ready"
"\Agent Activation Runtime\S-1-5-21-1797568184-2019550600-547061642-1001","N/A","Disabled"
"\Apple\AppleSoftwareUpdate","6/24/2026 5:06:00 PM","Ready"
"\GoogleUserPEH\RunPlatformExperienceHelperOnUnlock","N/A","Ready"
"\GoogleUserPEH\RunPlatformExperienceHelper_Daily","6/21/2026 7:39:08 PM","Ready"
"\GoogleUserPEH\RunPlatformExperienceHelper_Metrics","6/22/2026 10:19:44 PM","Ready"
"\Microsoft\Office\Office Automatic Updates 2.0","6/21/2026 11:04:20 AM","Ready"
"\Microsoft\Office\Office Automatic Updates 2.0","6/21/2026 7:07:03 AM","Ready"
"\Microsoft\Office\Office Automatic Updates 2.0","6/21/2026 5:25:58 AM","Ready"
"\Microsoft\Office\Office ClickToRun Service Monitor","6/21/2026 6:07:33 AM","Ready"
"\Microsoft\Office\Office Feature Updates","6/21/2026 2:48:18 AM","Ready"
"\Microsoft\Office\Office Feature Updates","6/21/2026 5:32:07 AM","Ready"
"\Microsoft\Office\Office Feature Updates","6/21/2026 2:40:43 AM","Ready"
"\Microsoft\Office\Office Feature Updates","6/21/2026 4:29:52 AM","Ready"
"\Microsoft\Office\Office Feature Updates","6/21/2026 4:39:33 AM","Ready"
"\Microsoft\Office\Office Feature Updates","6/21/2026 3:29:44 AM","Ready"
"\Microsoft\Office\Office Feature Updates Logon","N/A","Ready"
"\Microsoft\Office\Office Feature Updates Logon","N/A","Ready"
"\Microsoft\Office\OfficeTelemetryAgentFallBack2016","N/A","Ready"
"\Microsoft\Office\OfficeTelemetryAgentLogOn2016","N/A","Ready"
"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","N/A","Ready"
"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","N/A","Ready"
"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical","N/A","Disabled"
"\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical","N/A","Disabled"
"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/A","Disabled"
"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/A","Disabled"
"\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","N/A","Ready"
"\Microsoft\Windows\AppID\PolicyConverter","N/A","Disabled"
"\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","N/A","Disabled"
"\Microsoft\Windows\Application Experience\MareBackup","N/A","Ready"
"\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","6/21/2026 3:40:37 AM","Ready"
"\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","6/21/2026 4:33:57 AM","Ready"
"\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","6/21/2026 3:07:16 AM","Ready"
"\Microsoft\Windows\Application Experience\PcaPatchDbTask","6/21/2026 4:19:53 AM","Ready"
"\Microsoft\Windows\Application Experience\PcaWallpaperAppDetect","6/22/2026 12:00:02 PM","Ready"
"\Microsoft\Windows\Application Experience\ProgramDataUpdater","N/A","Ready"
"\Microsoft\Windows\Application Experience\StartupAppTask","N/A","Ready"
"\Microsoft\Windows\ApplicationData\appuriverifierdaily","N/A","Ready"
"\Microsoft\Windows\ApplicationData\appuriverifierinstall","N/A","Ready"
"\Microsoft\Windows\ApplicationData\CleanupTemporaryState","N/A","Ready"
"\Microsoft\Windows\ApplicationData\DsSvcCleanup","N/A","Ready"
"\Microsoft\Windows\AppListBackup\Backup","N/A","Ready"
"\Microsoft\Windows\AppListBackup\BackupNonMaintenance","6/21/2026 3:50:14 AM","Ready"
"\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup","N/A","Disabled"
"\Microsoft\Windows\Autochk\Proxy","N/A","Ready"
"\Microsoft\Windows\BitLocker\BitLocker Encrypt All Drives","N/A","Ready"
"\Microsoft\Windows\BitLocker\BitLocker MDM policy Refresh","N/A","Ready"
"\Microsoft\Windows\Bluetooth\UninstallDeviceTask","N/A","Ready"
"\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam","N/A","Ready"
"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam","N/A","Ready"
"\Microsoft\Windows\Chkdsk\ProactiveScan","N/A","Ready"
"\Microsoft\Windows\Chkdsk\SyspartRepair","N/A","Ready"
"\Microsoft\Windows\Clip\ClipESUConsumer","6/27/2026 8:07:59 AM","Ready"
"\Microsoft\Windows\Clip\ClipESUConsumer","6/27/2026 8:26:43 AM","Ready"
"\Microsoft\Windows\CloudExperienceHost\CreateObjectTask","N/A","Ready"
"\Microsoft\Windows\CloudRestore\Backup","6/24/2026 2:54:10 AM","Ready"
"\Microsoft\Windows\ConsentUX\UnifiedConsent\UnifiedConsentSyncTask","6/21/2026 12:58:25 PM","Ready"
"\Microsoft\Windows\ConsentUX\UnifiedConsent\UnifiedConsentSyncTask","6/21/2026 12:30:55 PM","Ready"
"\Microsoft\Windows\Customer Experience Improvement Program\Consolidator","6/21/2026 12:00:00 AM","Ready"
"\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip","N/A","Ready"
"\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan","6/21/2026 11:04:56 PM","Ready"
"\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan","6/21/2026 11:05:32 PM","Ready"
"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan","N/A","Ready"
"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery","N/A","Ready"
"\Microsoft\Windows\Defrag\ScheduledDefrag","N/A","Ready"
"\Microsoft\Windows\Device Information\Device","6/21/2026 4:11:44 AM","Ready"
"\Microsoft\Windows\Device Information\Device","6/21/2026 4:44:52 AM","Ready"
"\Microsoft\Windows\Device Information\Device User","N/A","Ready"
"\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","Ready"
"\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","Ready"
"\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner","N/A","Ready"
"\Microsoft\Windows\Diagnosis\Scheduled","N/A","Ready"
"\Microsoft\Windows\DirectX\DirectXDatabaseUpdater","N/A","Ready"
"\Microsoft\Windows\DirectX\DirectXDatabaseUpdater","N/A","Ready"
"\Microsoft\Windows\DirectX\DXGIAdapterCache","N/A","Ready"
"\Microsoft\Windows\DirectX\DXGIAdapterCache","N/A","Ready"
"\Microsoft\Windows\DiskCleanup\SilentCleanup","N/A","Ready"
"\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector","N/A","Ready"
"\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver","N/A","Disabled"
"\Microsoft\Windows\DiskFootprint\Diagnostics","N/A","Ready"
"\Microsoft\Windows\DiskFootprint\StorageSense","N/A","Ready"
"\Microsoft\Windows\DUSM\dusmtask","N/A","Ready"
"\Microsoft\Windows\EDP\EDP App Launch Task","N/A","Ready"
"\Microsoft\Windows\EDP\EDP Auth Task","N/A","Ready"
"\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task","N/A","Ready"
